p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
p,-,-,-,-,-,-,-,x,-,-,-,x,-,-,-,x,-,-,x,p,y,x,-,g
p,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,x,-,p
p,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,r,r,r,p
p,-,-,-,p,-,-,-,-,-,x,-,-,-,x,-,-,-,x,-,p,-,-,-,p
p,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
p,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
p,-,-,-,p,-,-,-,x,-,-,-,x,-,-,-,x,-,-,-,p,-,-,-,p
p,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
p,r,r,r,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
p,-,-,r,p,-,x,-,-,-,x,-,-,-,-,-,x,-,-,x,p,-,-,-,p
p,s,-,r,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,p
p,r,r,r,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,p
